fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,18,MAHARASHTRA,1813,SOLAPUR,133828,0,0,0,0,10,972,23600,0,0,14154,0,2213,0,23.5745,0,0,86720,196950,0,572641,1001065,23610,23.5745,0,97,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,0,0,0,0,30,846,73853,0,0,26545,0,12533,0,10.72146,0,0,238541,636332,0,696350,1482938,73883,10.72146,0,94,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1816,JALNA,557645,0,0,0,0,68,706,52726,0,0,20342,0,3143,94.93496,127.15423,0,0,174266,457004,0,502837,1117265,52794,32.21927,0,80,73.1,0,0,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,0,0,0,0,23,692,30813,0,0,53058,0,4307,0,26.53191,0,0,134609,335586,0,408888,861786,30836,26.53191,0,86,30.63,0,0,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,0,0,0,0,257,424,21097,0,0,38657,0,164030,0,10.2335332,0,0,132300,384498,0,237640,607292,21354,10.2335332,0,81,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1834,HINGOLI,357916,0,0,0,0,0,535,21657,0,0,43612,0,42391,0,7.40415,0,0,94551,241932,0,269180,607333,21657,7.40415,0,90,8.97,0,0,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,4073.64016172507,7,0,0,275,696,30225,1484,188,33281,18,7465,0,60.45282,198,252,128316,311801,0,493907,1030031,30500,60.45282,430,94,8.7,0,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,254.071520365069,11,54,0,492,337,21377,35281,2019,38689,12800,164191,35.49352,125.1324931,2953,5218,132494,384964,0,238261,608400,21869,89.6389731,16651,82,12.47,0,100,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,287.189301362926,10,46,0,115,178,28798,136251,5525,16887,24580,77538,0,391.298295,12513,20714,102818,289336,0,475807,989268,28913,391.298295,58751,91,55.11,54.65,100,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,304.440678298078,10,37,0.89686,99,1175,15238,33186,1484,9903,152,883,0,101.9285435,3062,4956,65408,147967,0,418442,795890,15337,101.0316835,15669,87,23.45,23.27,100,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,253.06658121885,12,156,0,265,592,73973,118981,3650,26671,4278,12654,69.30875,370.409899,9248,16672,239321,638681,0,697671,1486611,74238,301.101149,52685,94,60.94,51.97,100,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,1324.42370538546,10,54,0,37,270,38952,59902,2090,19986,498,2744,0,793.356288,5558,8497,150175,335382,0,433159,831141,38989,793.356288,24108,90,62.7,56.86,100,NA
2025-2026,April,18,MAHARASHTRA,1820,Dharashiv,303270,419.959598680224,9,9,0.69,58,527,19205,14851,1006,20534,59,1131,0,63.0582,1516,2044,76262,193230,0,330798,712225,19263,62.3682,6711,78,46.99,44.57,100,NA
2025-2026,April,18,MAHARASHTRA,1823,AKOLA,159859,287.165305332051,10,708,0,269,58,37341,229799,27053,36793,9646,11439,29.63529,689.53829,21972,33442,95769,220009,0,299830,581459,37610,659.903,91447,93,33.63,34.36,100,NA
2025-2026,April,18,MAHARASHTRA,1827,NAGPUR,254320,470.694266859519,8,4,0,317,527,17533,11062,1127,31543,742,30890,9.54709,61.6152898,1265,1657,98169,224935,0,287357,553886,17850,52.0681998,5194,81,65.69,64.95,100,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,331.356183941214,10,37,0.89686,99,1186,15192,29803,1343,9895,152,883,0,99.6509435,2834,4575,65314,147725,0,418253,795466,15291,98.7540835,14067,87,25.32,24.51,100,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,1831.12464296723,11,18,14.55202,51,517,82497,58398,1787,16129,186,1943,0,1083.892189,5086,8960,283962,688934,0,708490,1459740,82548,1069.340169,24931,80,53.01,37.1,100,NA
2025-2026,April,18,MAHARASHTRA,1819,NANDED,465894,470.281448799507,10,25,0,333,960,44299,38984,5490,75763,3159,39070,0,183.33452,3808,6150,185383,488666,0,680653,1530718,44632,183.33452,17784,83,48.3,37.8,100,NA
2025-2026,April,18,MAHARASHTRA,1835,PALGHAR,743985,250.819821178643,10,207,63.8034937,1004,98,48761,268648,841,1914,247723,356773,13.226,750.8519269,25057,43907,136609,398225,0,327388,762862,49765,673.8224332,140533,88,9.66,15.1,100,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,3954.29716376944,10,1,0,152,961,17952,2186,125,8880,21,21408,0,86.440936,204,347,51471,136874,0,385869,833615,18104,86.440936,962,94,84.16,0,100,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,252.583997397951,10,7,0.89686,94,1392,14993,12298,565,9830,38,878,0,31.95964,1136,1879,64708,146176,0,417208,793017,15087,31.06278,5814,87,22.7,2.51,100,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,4915.27762214624,10,2,0,39,606,81890,18134,741,16074,84,1943,0,891.336444,1704,3069,283562,687783,0,705396,1454501,81929,891.336444,7769,80,67.99,1.64,100,NA
2025-2026,April,18,MAHARASHTRA,1823,AKOLA,159859,248.459706047207,9,399,0,247,264,35287,96342,11755,36454,3873,11252,29.63529,269.00634,10485,15769,93859,215825,0,299403,580578,35534,239.37105,37931,93,24.28,3.58,100,NA
2025-2026,April,18,MAHARASHTRA,1831,NANDURBAR,204233,261.073964771609,10,5,1.14223,670,390,35198,53877,776,10375,45937,274554,0,141.80105,5381,8094,142657,340874,0,540335,1096550,35868,140.65882,24054,89,11.98,0,100,NA
2025-2026,April,18,MAHARASHTRA,1832,WASHIM,425205,625.236559784237,9,28,0,24,343,26928,16685,1014,22320,473,8627,5.28849,109.60921,1798,2804,103665,239907,0,297945,588787,26952,104.32072,7475,91,72.09,2.76,100,NA
2025-2026,April,18,MAHARASHTRA,1805,SINDHUDURG,50387,452.564197769198,10,4,0,100,334,16520,4662,197,2717,28,223,4.27666,25.3752029,451,726,30084,69885,0,131645,246541,16620,21.0985429,2099,87,22.36,20.35,100,NA
2025-2026,April,18,MAHARASHTRA,1809,AHMEDNAGAR,210978,375.743101016272,11,21,0,626,478,36614,108042,5945,29204,6957,26844,0,405.9603612,9461,15695,145870,425624,0,776434,1929930,37240,405.9603612,46869,93,33.74,32.51,100,NA
2025-2026,April,18,MAHARASHTRA,1819,NANDED,465894,781.041598908881,9,6,0,333,1004,44041,19063,2663,75631,1806,39005,0,148.88996,1999,3208,185130,487996,0,680055,1529763,44374,148.88996,8716,83,50.31,35.96,100,NA
2025-2026,April,18,MAHARASHTRA,1824,AMRAVATI,938474,349.696779568258,10,118,0.28512,1147,407,46466,82225,7188,51853,30025,138396,0,287.823297,7970,13198,187400,530539,0,481469,1085768,47613,287.538177,36781,77,27.21,27.71,100,NA
2025-2026,April,18,MAHARASHTRA,1831,NANDURBAR,204233,282.347055658918,11,9,1.14223,813,292,35597,89222,1017,10395,76957,276177,0,253.05792,8062,12388,143397,342694,0,540417,1096723,36410,251.91569,40305,89,13.8,11.23,100,NA
2025-2026,April,18,MAHARASHTRA,1809,AHMEDNAGAR,210978,500.824891193402,10,9,0,557,705,36027,48986,3072,29086,3941,26646,0,245.3340812,4584,7507,145023,423168,0,776296,1929393,36584,245.3340812,21178,93,27.84,0,100,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,5787.99527109662,10,2,0,39,615,81800,14718,718,16072,66,1943,0,851.877144,1398,2497,283545,687663,0,704735,1453352,81839,851.877144,6250,80,65.92,2.6,100,NA
2025-2026,April,18,MAHARASHTRA,1819,NANDED,465894,1524.95429662635,8,2,0,332,1057,43909,7855,817,75563,683,38956,0,119.78516,887,1412,185027,487673,0,679488,1528777,44241,119.78516,3507,83,85.88,0,100,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,0,0,0,0,0,446,27859,0,0,16650,0,75160,0,38.611188,0,0,100531,282692,0,456285,961103,27859,38.611188,0,91,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1819,NANDED,465894,0,0,0,0,20,1235,44525,0,0,75522,0,38853,0,32.4542,0,0,184824,486997,0,677291,1525124,44545,32.4542,0,83,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,0,0,0,0,6,735,30805,0,0,53048,0,4306,0,15.34689,0,0,134595,335531,0,408793,861608,30811,15.34689,0,86,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,0,0,0,0,168,437,21175,0,0,38658,0,164037,0,7.65579,0,0,132298,384496,0,237573,607156,21343,7.65579,0,81,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1834,HINGOLI,357916,0,0,0,0,0,548,21648,0,0,43612,0,42392,0,4.98069,0,0,94551,241927,0,269142,607264,21648,4.98069,0,90,12.63,0,0,NA
2025-2026,April,18,MAHARASHTRA,1835,PALGHAR,743985,0,0,0,63.2332537,144,419,46745,0,0,1898,0,351921,0,140.1779738,0,0,134261,392622,0,325257,758110,46889,76.9447201000001,0,86,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,0,0,0,0,28,1133,18310,0,0,8848,0,21395,0,41.004906,0,0,51289,136367,0,385213,831331,18338,41.004906,0,94,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,0,0,0,0,251,811,46910,0,0,39259,0,76773,0,109.94721,0,0,237032,531098,0,698736,1424475,47161,109.94721,0,94,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1835,PALGHAR,743985,757764.522777779,4,0,63.2332537,228,351,46883,18,0,1898,18,352304,0,199.6308678,4,9,134474,393087,0,325532,758714,47111,136.3976141,8,86,0,0,100,NA
2025-2026,April,18,MAHARASHTRA,1806,NASHIK,269575,379.355246604718,10,27,0,1215,1074,50871,27980,349,10854,16112,208541,0,106.143598,2546,4439,183141,514321,0,721185,1545397,52086,106.143598,12443,88,18,0,100,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,630.030302385176,9,3,28.282765,390,697,36968,25365,1417,28376,4042,36221,0,188.0899512,2624,3842,137026,339115,0,683755,1297627,37358,159.8071862,11397,91,19.02,0,100,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,367.031728959398,11,1,0.89686,87,1463,14990,3719,291,9820,26,877,0,14.54677,326,558,64473,145547,0,416889,792227,15077,13.64991,1783,87,5.97,2.54,100,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,6109.01219441211,8,25,0,19,414,38798,6872,233,19964,18,2737,0,419.811318,820,1185,149892,334669,0,432467,829803,38817,419.811318,2642,90,46.09,0,0,NA
2025-2026,April,18,MAHARASHTRA,1823,AKOLA,159859,250.734989739403,9,198,0,222,388,34988,45319,5423,36286,1862,11188,29.63529,143.26588,4901,7466,93003,213851,0,299232,580168,35210,113.63059,17752,93,21.08,2.75,100,NA
2025-2026,April,18,MAHARASHTRA,1824,AMRAVATI,938474,906.758310819503,9,13,0.28512,922,491,46559,15546,1432,51777,3281,138241,0,141.249767,1681,2651,187014,529403,0,480780,1084309,47481,140.964647,6573,77,33.11,2.63,100,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,1566.89620695683,9,8,0,626,613,46721,11442,377,39283,922,76804,0,179.284264,1235,1770,237172,531574,0,699630,1426320,47347,179.284264,5017,94,32.35,19.46,100,NA
2025-2026,April,18,MAHARASHTRA,1826,WARDHA,201417,520.917305517348,10,29,0,305,344,12430,13086,1185,15137,1201,14429,0.0545,68.2217386000001,1242,2060,56227,139251,0,226041,421185,12735,68.1672386000001,5624,87,44.72,0,100,NA
2025-2026,April,18,MAHARASHTRA,1835,PALGHAR,743985,799.031103499201,9,40,63.8034937,565,299,46176,24377,138,1905,20940,353313,13.226,271.8093058,2654,4241,134874,394285,0,326542,761015,46741,194.7798121,12677,86,20.7,0.47,100,NA
2025-2026,April,18,MAHARASHTRA,1802,THANE,57531,0,0,0,0,31,406,13637,0,0,3584,0,36182,10.3281,14.00935,0,0,30102,98788,0,146605,344104,13668,3.68125,0,95,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1806,NASHIK,269575,0,0,0,0,666,1268,53950,0,0,10821,0,207196,0,29.881048,0,0,182520,511991,0,719778,1540424,54616,29.881048,0,88,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,0,0,0,0,105,778,73808,0,0,26552,0,12529,0,58.9336790000001,0,0,238493,636283,0,696562,1483454,73913,58.9336790000001,0,94,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,4141127.21538462,2,0,0,39,797,81694,13,0,16041,0,1939,0,538.346538,5,13,283120,686372,0,703424,1450661,81733,538.346538,5,79,97.19,2.81,0,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,0,0,0,0,29,627,30824,0,0,53061,0,4307,0,50.77602,0,0,134600,335574,0,409074,862072,30853,50.77602,0,86,61.36,0,0,NA
2025-2026,April,18,MAHARASHTRA,1832,WASHIM,425205,0,0,0,0,9,354,27022,0,0,22298,0,8610,0,86.95849,0,0,103546,239540,0,296530,586363,27031,86.95849,0,91,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1834,HINGOLI,357916,0,0,0,0,6,520,21650,0,0,43606,0,42393,0,11.036039,0,0,94547,241940,0,269301,607561,21656,11.036039,0,90,42.04,0,0,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,0,0,0,0,96,395,27994,0,0,16674,0,75554,0,58.404249,0,0,100790,283528,0,456563,961996,28090,58.404249,0,91,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1809,AHMEDNAGAR,210978,12317153,1,0,0,492,916,36001,1,0,28946,0,26296,0,123.17153,1,1,143912,419842,0,776068,1928272,36493,123.17153,0,93,99.27,0,100,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,0,0,0,0,63,1474,14908,0,0,9789,0,877,0,10.94052,0,0,64334,145123,0,416305,790499,14971,10.94052,0,87,10.95,4.96,0,NA
2025-2026,April,18,MAHARASHTRA,1814,KOLHAPUR,54096,226906.333333333,4,0,0,42,930,10353,18,0,17417,0,330,0,40.84314,4,6,47171,116287,0,368202,661983,10395,40.84314,12,93,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,0,0,0,0,319,763,46878,0,0,39259,0,76769,0,121.53021,0,0,237026,531115,0,698871,1424758,47197,121.53021,0,94,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1832,WASHIM,425205,0,0,0,0,9,356,27019,0,0,22296,0,8609,0,85.39033,0,0,103534,239464,0,296088,585563,27028,85.39033,0,91,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1834,HINGOLI,357916,0,0,0,0,6,520,21651,0,0,43606,0,42392,0,11.036039,0,0,94547,241932,0,269274,607505,21657,11.036039,0,90,35.48,0,0,NA
2025-2026,April,18,MAHARASHTRA,1831,NANDURBAR,204233,226.685300009539,10,0,1.14223,594,542,35053,10483,233,10357,9634,273002,0,24.90565,1040,1555,141884,339134,0,540143,1096169,35647,23.76342,4729,88,19.57,0,100,NA
2025-2026,April,18,MAHARASHTRA,1832,WASHIM,425205,1608.38089349204,8,27,0,9,347,27047,6469,156,22303,72,8612,5.28849,109.33465,729,1098,103584,239679,0,297238,587594,27056,104.04616,2849,91,90.88,0,100,NA
2025-2026,April,18,MAHARASHTRA,1835,PALGHAR,743985,938.722674480298,8,10,63.8034937,432,299,47092,20733,124,1905,17414,353264,13.226,271.6548658,2391,3700,134861,394230,0,326451,760769,47524,194.6253721,10936,87,23.71,0.53,100,NA
2025-2026,April,18,MAHARASHTRA,1806,NASHIK,269575,259.724599953754,13,223,0,1300,506,54121,298403,4681,11077,164462,216923,0,775.025998,21416,37488,188779,530782,0,723767,1552265,55421,775.025998,134163,88,9.1,8.68,100,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,397.796679854839,10,97,0,1032,328,47962,183245,9437,39548,21593,77572,0,728.942526,17072,25071,239520,536720,0,701025,1428947,48994,728.942526,81906,94,33.24,49.3,100,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,200.231130078128,9,489,0,399,278,15264,120443,13725,57017,9874,31736,0,241.16438,12388,19749,180508,436934,0,292339,638561,15663,241.16438,67910,78,11.09,25.87,100,NA
2025-2026,April,18,MAHARASHTRA,1835,PALGHAR,743985,309.29227135062,10,262,63.8034937,1047,91,49469,316314,970,1914,292672,357976,13.226,1055.3642489,28770,50801,137167,399544,0,327696,763461,50516,978.3347552,166079,88,8.62,15.18,100,NA
2025-2026,April,18,MAHARASHTRA,1802,THANE,57531,309.768340862313,14,36,0,54,147,13097,74822,1930,3731,33547,39180,10.3281,242.102968,5096,8933,31994,104742,1,146965,346273,13151,231.774868,38483,95,17.65,19.49,100,NA
2025-2026,April,18,MAHARASHTRA,1803,RAIGAD,21915,357.428725357171,12,6,0,156,614,18369,12529,508,2675,4578,15076,0,44.782245,1037,1760,28327,65428,0,197068,356842,18525,44.782245,6194,79,28.91,27.8,100,NA
2025-2026,April,18,MAHARASHTRA,1805,SINDHUDURG,50387,336.104539326723,10,24,0,121,188,16314,25517,556,2733,69,230,4.27666,90.0404553,2460,3856,30654,71148,0,131822,246883,16435,85.7637953,11269,88,40.12,34.21,100,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,218.734618575697,13,398,0,272,579,74537,196461,5766,26736,5771,12692,69.30875,499.036969,14764,26968,239774,639818,0,698297,1487805,74809,429.728219,87829,94,61.89,55.12,100,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,256.564073665829,10,21,0,91,511,30992,80743,6919,53181,911,4323,0,207.15753,7386,11660,135207,336976,0,410850,865157,31083,207.15753,35359,86,61.85,52.76,100,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,344.171694125519,10,29,0,645,361,31368,122547,7611,33603,2080,7565,0,421.772086,11717,17297,130651,317365,0,495027,1032520,32013,421.772086,48338,94,32.03,31.38,100,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,212.114878717946,9,763,0,451,216,15537,201926,22991,57081,15906,31778,22.51124,450.82633,20207,31808,180764,437221,0,293685,640282,15988,428.31509,116173,78,12.39,30.15,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,289.851939981183,14,336,0,1142,61,22955,380514,30827,39041,131744,165694,35.49352,1138.4207309,26077,46693,134059,388874,1,240797,612742,24097,1102.9272109,178829,84,19.27,22.89,100,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,286.837058350306,12,69,28.282765,908,266,41084,313246,15921,29167,28412,37680,0,926.7883768,24300,37825,142973,353245,3,685084,1301262,41992,898.5056118,136597,92,22.61,21.39,100.11,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,332.637452853294,12,15,0,261,716,18790,61245,2329,9002,9432,21797,0,203.723808,5024,8383,53023,140961,0,386392,835323,19051,203.723808,27258,94,35.81,33.23,100,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,286.054535475874,11,48,0.89686,125,1030,15369,66961,2530,9995,252,885,0,192.4418375,5666,9089,66674,151003,0,419583,798274,15494,191.5449775,31750,87,18.16,19.04,100,NA
2025-2026,April,18,MAHARASHTRA,1812,SANGLI,57488,303.10530518953,17,12,0.57024,250,281,10801,72627,4098,7379,340,213,0,220.70653,4254,6668,45506,98547,0,323624,571276,11051,220.13629,29871,90,18.38,13.32,100,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,294.199001762139,11,28,0,303,463,30978,108391,9024,53229,1311,4329,0,318.88524,9648,15559,135491,337626,0,411101,865473,31281,318.88524,47549,86,64.26,55.84,100,NA
2025-2026,April,18,MAHARASHTRA,1823,AKOLA,159859,302.660352240887,11,845,0,486,40,38015,309788,36468,36943,12113,11464,29.63529,967.240742,26146,40133,96732,222310,1,301980,584996,38501,937.605452,123644,93,34.38,35.22,100,NA
2025-2026,April,18,MAHARASHTRA,1824,AMRAVATI,938474,287.101394909459,14,365,0.28512,1216,143,47576,375795,33116,52191,131262,138819,0,1079.197807,26463,47836,188999,534815,0,483830,1089973,48792,1078.912687,166526,79,31.24,40,100.16,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,283.070085023088,12,76,28.282765,908,262,41193,331557,16809,29186,29405,37703,0,966.8214468,25508,39943,143152,353692,4,685157,1301433,42101,938.5386818,144889,92,24.25,23.11,100.1,NA
2025-2026,April,18,MAHARASHTRA,1809,AHMEDNAGAR,210978,339.143094554081,15,64,0,710,254,38164,319542,15735,29561,17967,27509,0,1083.7046272,21207,36190,148458,433180,2,779121,1936207,38874,1083.7046272,139286,93,43.31,41.44,100.18,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,291.717015691704,11,60,0.89686,125,900,15701,86670,2862,10009,454,894,0,253.7279975,7434,11819,67358,152545,0,419860,798949,15826,252.8311375,42114,87,17.58,18.54,100,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,669.53763566424,12,52,24.36237,51,444,83940,218370,5416,16264,802,1953,0,1486.431705,17045,30072,285210,692011,0,727021,1486200,83991,1462.069335,94345,80,53.79,44.24,100.01,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,322.461049245406,10,32,0,650,326,31760,146105,8966,33653,2558,7574,0,471.131716,13745,20227,131104,318529,0,495396,1033257,32410,471.131716,57188,95,28.55,28.05,100,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,198.034338211899,10,938,0,500,190,15669,251440,28505,57104,20152,31788,22.51124,520.44878,23290,36748,180879,437227,0,295421,642706,16169,497.93754,145929,78,13.91,33.88,100,NA
2025-2026,April,18,MAHARASHTRA,1834,HINGOLI,357916,290.202599774786,11,42,0,26,154,22514,221123,27064,44141,33741,42832,0,641.7046947,18552,30979,96055,245448,0,272032,612290,22540,641.7046947,94405,90,79.51,74.73,100.01,NA
2025-2026,April,18,MAHARASHTRA,1802,THANE,57531,304.06787562269,18,44,0,63,109,13490,124460,3163,3781,56566,39974,10.3281,388.770978,6689,11728,32610,106721,5,148530,348738,13553,378.442878,63853,95,18.88,21.02,100.01,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,248.13761174243,14,99,0,804,113,29729,325861,12074,17128,62909,79559,0,808.583703,22417,37713,105010,295399,8,543033,1081029,30533,808.583703,141880,92,54.36,53.94,100.64,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,285.634746323638,14,94,28.282765,1187,215,42192,475606,23155,29336,41272,38112,0,1386.7787566,32232,51094,144802,357739,11,686423,1303547,43379,1358.4959916,207593,92,23.86,23.14,101.1,NA
2025-2026,April,18,MAHARASHTRA,1814,KOLHAPUR,54096,323.181927055675,17,26,0,122,364,11434,141231,14151,18186,310,355,0,456.4330674,8078,13441,51282,126496,3,376581,680711,11556,456.4330674,65611,94,20.25,15.57,104.4,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,575.895991853918,12,141,0,156,112,38577,343478,10385,20173,1754,2774,0,1978.0760349,26660,42950,152090,339218,2,435397,834526,38733,1978.0760349,142525,91,73.71,69.85,100.04,NA
2025-2026,April,18,MAHARASHTRA,1819,NANDED,465894,288.447831137679,13,108,1.424,451,517,46510,342267,34482,76706,22986,39841,0.66,989.3457382,26005,42703,188663,496525,1,685053,1537267,46961,987.2617382,153013,84,57.3,53.6,100,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,329.997069455825,11,52,0,695,274,32478,207470,12967,33860,4400,7639,0,684.64492,18243,27128,132184,321111,0,496580,1035520,33173,684.64492,81313,95,33.5,33.08,100,NA
2025-2026,April,18,MAHARASHTRA,1827,NAGPUR,254320,307.858759279034,10,29,0,432,309,18192,77729,8512,31754,6789,31071,9.54709,248.842625,7173,10018,99014,226884,0,292035,560669,18624,239.295535,34008,82,51.55,51.53,100.01,NA
2025-2026,April,18,MAHARASHTRA,1829,CHANDRAPUR,794464,291.096816133343,15,259,0,2203,89,29143,578479,50522,60342,132849,104477,86.87413,1770.808081,36830,61450,168882,485498,6,389503,931119,31346,1683.933951,289670,81,26.6,32.89,100.01,NA
2025-2026,April,18,MAHARASHTRA,1835,PALGHAR,743985,282.226443492193,14,474,63.8034937,1493,49,52476,717131,2060,1947,667112,363231,13.226,2100.96281018,48328,86906,139567,405546,4,331587,770092,53969,2023.93331648,387019,88,13.2,23.49,100.04,NA
2025-2026,May,18,MAHARASHTRA,1804,RATNAGIRI,143920,329.817602019065,10,49,0,412,316,19135,58641,1626,6453,485,1156,0,193.40834,5382,7859,51204,116871,1,260323,482716,19547,193.40834,27608,97,59.93,39.52,100.17,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,236.252269952704,15,110,0,815,111,29956,357959,13421,17147,67403,79768,0,845.686263,23635,39826,105328,296233,13,552042,1093147,30771,845.686263,156146,92,55.11,54.71,100.61,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,294.510052725634,17,110,0,775,197,39054,496912,22404,29726,31335,27868,0,1463.4557932,28589,50027,149918,437649,18,788341,1954321,39829,1463.4557932,216000,93,48.59,46.72,100.42,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,325.122732514396,15,537,0,550,209,76433,540945,14412,26925,11022,12821,69.30875,1828.0439154,34819,64119,241572,644509,11,705382,1500495,76983,1758.7351654,242035,94,66.8,62.9,101.33,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,275.932595935611,18,543,0.28512,1499,92,48802,724783,61678,52380,276609,139114,0,2000.1976668,39805,75529,190112,537838,33,489737,1098298,50301,1999.9125468,325195,80,31.66,48.28,100.26,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,318.240876781672,19,114,2.03734,441,70,13278,198339,14365,15465,17249,14875,12.47766,645.7107726,10101,16569,58425,144561,6,229847,426946,13719,631.1957726,85239,88,48.62,48.39,100.23,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,299.904995527007,17,436,0,2918,26,22636,634251,51079,39185,228216,166612,35.49352,1937.64395318,35949,65019,134848,390879,10,244016,618180,25554,1902.15043318,301348,84,21.62,26.6,100.17,NA
2025-2026,April,18,MAHARASHTRA,1804,RATNAGIRI,59832,314.161544158489,10,38,0,374,399,19643,43208,1269,6440,402,1156,0,135.74292,4152,6084,51025,116479,0,259944,482109,20017,135.74292,20512,97,59.04,34.16,100,NA
